Брянский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,
Брянский филиал Современной гуманитарной академии,Брянск
Брянский филиал Финансового университета при Правительстве Российской Федерации,Брянск
Карачевский филиал Орловского государственного университета имени И.С. Тургенева,Карачев
Филиал Брянского государственного университета имени академика И.Г.Петровского ,Новозыбков
Филиал Московского государственного университета технологий и управления ,Унеча
Филиал Московского нового юридического института ,Брянск
Филиал Московского психолого-социального университета ,Брянск
Александровский филиал Современной гуманитарной академии,Александров
Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых,Владимир
Владимирский институт бизнеса,Владимир
Владимирский институт туризма и гостеприимства,
Владимирский филиал Московского финансово-юридического университета МФЮА,Владимир
Владимирский филиал Российского университета кооперации,Владимир
Владимирский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,Владимир
Владимирский филиал Российской международной академии туризма,Владимир
Владимирский филиал Современной гуманитарной академии,Владимир
Владимирский филиал Финансового университета при Правительстве Российской Федерации,Владимир
Владимирский юридический институт Федеральной службы исполнения наказаний,Владимир
Ковровская государственная технологическая академия имени В.А. Дегтярева,
Ковровский филиал Современной гуманитарной академии,Ковров
Муромский институт (филиал) Владимирского государственного университета имени Александра Григорьевича и Николая Григорьевича Столетовых,Муром
Муромский филиал Московского государственного университета путей сообщения,Муром
Педагогический институт Владимирского государственного университета имени Александра Григорьевича и Николая Григорьевича Столетовых,Владимир
Покровский филиал Московского педагогического государственного университета,
Филиал Владимирского государственного университета имени Александра Григорьевича и Николая Григорьевича Столетовых ,Гусь-Хрустальный
Филиал Московского психолого-социального университета ,Муром
Филиал Столичной финансово-гуманитарной академии ,Владимир
Быковский филиал Современной гуманитарной академии,
Волгоградская академия Министерства внутренних дел Российской Федерации,Волгоград
Волгоградская государственная академия физической культуры,Волгоград
Волгоградская консерватория (институт) имени П.А. Серебрякова,Волгоград
Волгоградский государственный аграрный университет,Волгоград
Волгоградский государственный институт искусств и культуры,Волгоград
Волгоградский государственный медицинский университет,
Волгоградский государственный социально-педагогический университет,Волгоград
Волгоградский государственный технический университет,Волгоград
Волгоградский государственный университет,Волгоград
Волгоградский гуманитарный институт,Волгоград
Волгоградский институт бизнеса,Волгоград
Волгоградский институт экономики социологии и права,Волгоград
Волгоградский кооперативный институт (филиал) Российского университета кооперации,Волгоград
Волгоградский филиал Академии труда и социальных отношений,Волгоград
Волгоградский филиал Института управления,Волгоград
Волгоградский филиал Международного славянского института,Волгоград
Волгоградский филиал Московского государственного университета путей сообщения,Волгоград
Волгоградский филиал Российского государственного торгово-экономического университета,Волгоград
Волгоградский филиал Российского экономического университета имени Г.В. Плеханова,Волгоград
Волгоградский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,Волгоград
Волгоградский филиал Современной гуманитарной академии,Волгоград
Волгоградский филиал Финансового университета при Правительстве Российской Федерации,Волгоград
Волгоградский юридический институт,Волгоград
Волжский (г. Волжский Волгоградской области) филиал Международного юридического института,Волжский
Волжский гуманитарный институт (филиал) Волгоградского государственного университета,Волжский
Волжский институт строительства и технологий (филиал) Волгоградского государственного архитектурно-строительного университета,Волжский
Волжский институт экономики педагогики и права,
Волжский политехнический институт (филиал) Волгоградского государственного технического университета,Волжский Волгоградской области
Волжский филиал Московского института рекламы туризма шоу-бизнеса,Волжский
Волжский филиал Современной гуманитарной академии,Волжский
Институт архитектуры и строительства Волгоградского государственного технического университета,Волгоград
Камышинский технологический институт (филиал) Волгоградского государственного технического университета,Камышин
Камышинский филиал Современной гуманитарной академии,Камышин
Линевский филиал Сибирской государственной геодезической академии,
Себряковский филиал Волгоградского государственного архитектурно-строительного университета,Михайловка
Филиал Волгоградского государственного социально-педагогического университета ,Михайловка
Филиал Международного института экономики и права в городе Волгограде,Волгоград
Филиал Национального исследовательского университета МЭИ ,Волжский
филиал Финансового университета при Правительстве Российской Федерации ,Волгоград
Вологодская государственная молочнохозяйственная академия имени Н.В. Верещагина,Вологда
Вологодский государственный университет,Вологда
Вологодский институт бизнеса,Вологда
Вологодский институт права и экономики Федеральной службы исполнения наказаний,Вологда
Вологодский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,Вологда
Вологодский филиал Современной гуманитарной академии,Вологда
Институт менеджмента и информационных технологий (филиал) Санкт-Петербургского государственного политехнического университета ,Череповец
Педагогический институт ВоГУ,Вологда
Северо-Западный институт (филиал) Университета имени О.Е. Кутафина (МГЮА),Вологда
Филиал Санкт-Петербургского государственного экономического университета ,Череповец
Филиал Столичной финансово-гуманитарной академии ,Вологда
Филиал Столичной финансово-гуманитарной академии ,Череповец
Череповецкий военный инженерный институт радиоэлектроники,Череповец
Череповецкий государственный университет,Череповец
Череповецкий филиал Московской государственной академии водного транспорта,Череповец
Череповецкий филиал Современной гуманитарной академии,Череповец
Череповецкий филиал Университета Российской академии образования,Череповец
Борисоглебский филиал Воронежского государственного университета,Борисоглебск
Борисоглебский филиал Института менеджмента маркетинга и финансов,Борисоглебск
Военный авиационный инженерный университет,Воронеж
Воронежская государственная академия искусств,Воронеж
Воронежский государственный аграрный университет имени императора Петра I,Воронеж
Воронежский государственный институт физической культуры,Воронеж
Воронежский государственный лесотехнический университет имени Г.Ф. Морозова,Воронеж
Воронежский государственный медицинский университет им. Н.Н. Бурденко,Воронеж
Воронежский государственный педагогический университет,Воронеж
Воронежский государственный технический университет,Воронеж
Воронежский государственный технический университет,Воронеж
Воронежский государственный университет,Воронеж
Воронежский государственный университет инженерных технологий,Воронеж
Воронежский институт высоких технологий,Воронеж
Воронежский институт инновационных систем,Воронеж
Воронежский институт кооперации (филиал) Белгородского университета кооперации экономики и права,Воронеж
Воронежский институт Министерства внутренних дел Российской Федерации,Воронеж
Воронежский институт правительственной связи (филиал) Академии Федеральной службы охраны Российской Федерации,Воронеж
Воронежский институт Федеральной службы исполнения наказаний,Воронеж
Воронежский институт экономики и социального управления,
Воронежский филиал Государственного университета морского и речного флота имени адмирала С.О. Макарова,Воронеж
Воронежский филиал Московского государственного университета путей сообщения,Воронеж
Воронежский филиал Московского гуманитарно-экономического института,Воронеж
Воронежский филиал Московской открытой социальной академии,Воронеж
Воронежский филиал Российского государственного торгово-экономического университета,Воронеж
Воронежский филиал Российского экономического университета имени Г.В. Плеханова,Воронеж
Воронежский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,Воронеж
Воронежский филиал Современной гуманитарной академии,Воронеж
Воронежский экономико-правовой институт,Воронеж
Институт менеджмента маркетинга и финансов,Воронеж
Институт экономики и права (г. Воронеж),Воронеж
Международный институт компьютерных технологий,Воронеж
Филиал Воронежского государственного технического университета ,Борисоглебск
филиал Всероссийского заочного финансово-экономического института ,Воронеж
Филиал Московского института экономики менеджмента и права ,
Центральный филиал Российской академии правосудия (г. Воронеж),Воронеж
Биробиджанский филиал Амурского государственного университета,Биробиджан
Биробиджанский филиал Дальневосточного государственного аграрного университета,Биробиджан
Биробиджанский филиал Современной гуманитарной академии,Биробиджан
Приамурский государственный университет имени Шолом-Алейхема,Биробиджан
Агинский филиал Современной гуманитарной академии,
Забайкальский аграрный институт - филиал Иркутского государственного аграрного университета имени А.А.Ежевского,Чита
Забайкальский государственный университет,Чита
Забайкальский институт железнодорожного транспорта - филиал Иркутского государственного университета путей сообщения,Чита
Забайкальский институт предпринимательства - филиал Сибирского университета потребительской кооперации,Чита
Читинская государственная медицинская академия,Чита
Читинский институт (филиал) Байкальского государственного университета экономики и права,Чита
Читинский филиал Современной гуманитарной академии,Чита
Ивановская государственная медицинская академия Министерства здравоохранения и социального развития Российской Федерации,
Ивановская государственная сельскохозяйственная академия имени академика Д.К. Беляева,Иваново
Ивановский (г. Иваново) филиал Международного юридического института,Иваново
Ивановский государственный политехнический университет,Иваново
Ивановский государственный университет,Иваново
Ивановский государственный химико-технологический университет,Иваново
Ивановский государственный энергетический университет имени В.И. Ленина,Иваново
Ивановский институт Государственной противопожарной службы Министерства Российской Федерации по делам гражданской обороны чрезвычайным ситуациям и ликвидации последствий стихийных бедствий,Иваново
Ивановский филиал Владимирского юридического института Федеральной службы исполнения наказаний,Иваново
Ивановский филиал Института управления,Иваново
Ивановский филиал Российского государственного торгово-экономического университета,Иваново
Ивановский филиал Российского университета кооперации,Иваново
Ивановский филиал Российского экономического университета имени Г.В. Плеханова,Иваново
Ивановский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,
Ивановский филиал Современной гуманитарной академии,Иваново
Институт бизнеса информационных технологий и финансов,
Кинешемский филиал Современной гуманитарной академии,Кинешма
филиал Московского государственного индустриального университета ,Кинешма
Шуйский филиал Ивановского государственного университета,Шуя
Ангарский государственный технический университет,Ангарск
Ангарский филиал Сибирской академии права экономики и управления,Ангарск
Байкальский государственный университет,Иркутск
Братский государственный университет,Братск
Восточно-Сибирский институт Министерства внутренних дел Российской Федерации,Иркутск
Восточно-Сибирский институт экономики и права,Иркутск
Восточно-Сибирский филиал Российской академии правосудия (г. Иркутск),Иркутск
Иркутский государственный аграрный университет имени А.А.Ежевского,
Иркутский государственный медицинский университет Министерства здравоохранения Российской Федерации,
Иркутский государственный университет,Иркутск
Иркутский государственный университет путей сообщения,Иркутск
Иркутский институт международного туризма,Иркутск
Иркутский национальный исследовательский технический университет,Иркутск
Иркутский филиал Академии труда и социальных отношений,Иркутск
Иркутский филиал Московского государственного технического университета гражданской авиации,Иркутск
Иркутский филиал Российского государственного торгово-экономического университета,Иркутск
Иркутский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,
Иркутский филиал Современной гуманитарной академии,Иркутск
Иркутский юридический институт (филиал) Всероссийского государственного университета юстиции,Иркутск
Сибирская академия права экономики и управления,Иркутск
Филиал Байкальского государственного университета экономики и права ,Братск
Филиал Байкальского государственного университета экономики и права ,Усть-Илимск
Филиал Иркутского государственного технического университета ,Усолье-Сибирское
Филиал Иркутского государственного университета ,Братск
Филиал Иркутского государственного университета путей сообщения ,Братск
Филиал Российского государственного университета физической культуры спорта молодежи и туризма ,Иркутск
Кабардино-Балкарский государственный аграрный университет имени В.М. Кокова,Нальчик
Кабардино-Балкарский государственный университет им. Х.М. Бербекова,Нальчик
Кабардино-Балкарский институт бизнеса,Нальчик
Нальчикский институт кооперации (филиал) Белгородского университета кооперации экономики и права,Нальчик
Нальчикский филиал Краснодарского университета Министерства внутренних дел Российской Федерации,Нальчик
Нальчикский филиал Современной гуманитарной академии,Нальчик
Северо-Кавказский государственный институт искусств,Нальчик
Филиал Армавирского лингвистического социального института ,Нальчик
Балтийская государственная академия рыбопромыслового флота,Калининград
Балтийский военно-морской институт имени Адмирала Ф.Ф. Ушакова (филиал) Военного учебно-научного центра Военно-Морского Флота Военно-морская академия имени Адмирала Флота Советского Союза Н.Г. Кузнецова,Калининград
Балтийский институт экономики и финансов,Калининград
Балтийский федеральный университет имени Иммануила Канта,Калининград
Калининградский государственный технический университет,Калининград
Калининградский институт туризма - филиал Российской международной академии туризма,Калининград
Калининградский институт управления,Калининград
Калининградский институт экономики - филиал Санкт-Петербургского университета управления и экономики,Калининград
Калининградский пограничный институт Федеральной службы безопасности Российской Федерации,Калининград
Калининградский филиал Евразийского открытого института,Калининград
Калининградский филиал Международного университета в Москве,Калининград
Калининградский филиал Московского государственного университета путей сообщения,Калининград
Калининградский филиал Московского государственного университета экономики статистики и информатики (МЭСИ),Калининград
Калининградский филиал Московского финансово-юридического университета МФЮА,Калининград
Калининградский филиал Российского университета кооперации,Калининград
